==31838== NVPROF is profiling process 31838, command: /home/sbchoi/git/caffe/build/tools/caffe time -model out.prototxt -iterations 1 -gpu 1
==31838== Profiling application: /home/sbchoi/git/caffe/build/tools/caffe time -model out.prototxt -iterations 1 -gpu 1
==31838== Profiling result:
==31838== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (1)","void dot_kernel<float, float, float, int=128, int=0, int=0>(cublasDotParams<float, float>)",4,"dram_utilization","Device Memory Utilization","Low (1)","Low (2)","Low (1)"
"GeForce GTX 1080 (1)","void reduce_1Block_kernel<float, float, float, int=128, int=7>(float*, int, float*)",4,"dram_utilization","Device Memory Utilization","Idle (0)","Low (1)","Idle (0)"
"GeForce GTX 1080 (1)","void gemm_kernel1x1_core<float, bool=0, bool=0, bool=0, bool=0, bool=0>(float*, float const *, float const *, int, int, int, int, int, int, float*, float*, float, float, int)",86,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (1)","void gemmk1_kernel<float, int=256, int=5, bool=0, bool=0, bool=0, bool=0>(cublasGemmk1Params<float>, float const *, float const *, float*)",2,"dram_utilization","Device Memory Utilization","Low (3)","Mid (4)","Low (3)"
"GeForce GTX 1080 (1)","void gemv2N_kernel_val<float, float, float, int=128, int=32, int=4, int=4, int=1>(float, float, cublasGemv2Params_v2<float, float, float>)",2,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (1)","void caffe::Slice<float>(int, float const *, bool, int, int, int, int, int, caffe::Slice<float>*)",264,"dram_utilization","Device Memory Utilization","Low (1)","Low (2)","Low (1)"
"GeForce GTX 1080 (1)","void caffe::LSTMActsForward<float>(int, int, float const *, caffe::LSTMActsForward<float>*)",88,"dram_utilization","Device Memory Utilization","Idle (0)","Low (1)","Idle (0)"
"GeForce GTX 1080 (1)","void asum_kernel<float, float, int=0>(cublasAsumParams<float, float>)",4,"dram_utilization","Device Memory Utilization","Idle (0)","Low (1)","Idle (0)"
"GeForce GTX 1080 (1)","void caffe::LSTMActsBackward<float>(int, int, float const *, float const , caffe::LSTMActsBackward<float>*)",88,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (1)","maxwell_sgemm_128x64_raggedMn_tn",90,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (1)","void caffe::LSTMUnitForward<float>(int, int, float const *, float const , float const , caffe::LSTMUnitForward<float>*, float const *)",88,"dram_utilization","Device Memory Utilization","Idle (0)","Low (1)","Idle (0)"
"GeForce GTX 1080 (1)","void axpy_kernel_val<float, float, int=0>(cublasAxpyParamsVal<float, float, float>)",176,"dram_utilization","Device Memory Utilization","Idle (0)","Low (1)","Idle (0)"
"GeForce GTX 1080 (1)","void magma_lds128_sgemm_kernel<bool=0, bool=0, int=6, int=5, int=3, int=3, int=3>(int, int, int, float const *, int, float const *, int, float*, int, int, int, float const *, float const *, float, float, int)",2,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
