Memory Usage, PCI TX(%), PCI RX(%), Core Util, Mem Util 
0.123258,0.095367,4.768372,0,0 
0.123258,1.811981,90.599060,0,0 
1.417467,0.000000,0.000000,0,0 
1.417467,0.000000,0.000000,0,0 
1.417467,1.764297,88.214874,2,0 
1.590028,1.335144,66.757202,2,0 
1.737938,1.430511,71.525574,2,0 
1.885848,0.000000,0.000000,2,0 
1.885848,0.762939,38.146973,6,0 
2.033757,1.335144,66.757202,6,0 
2.132364,1.478195,73.909760,6,0 
2.230970,1.049042,52.452087,5,0 
2.354228,0.190735,9.536743,5,0 
2.403531,0.000000,0.000000,5,0 
2.403531,0.000000,0.000000,1,0 
