Timestamp, Memory Usage(%), PCI TX(%), PCI RX(%), Core Util, Mem Util 
13:01:38:076, 0.123258,0.047684,1.668930,0,0 
13:01:38:120, 0.123258,0.143051,18.620491,0,0 
13:01:38:181, 1.392816,0.977516,6.031990,3,0 
13:01:38:222, 1.590028,1.001358,5.984306,3,0 
13:01:38:263, 1.713287,0.810623,2.121925,3,0 
13:01:38:303, 1.861196,0.143051,0.000000,3,0 
13:01:38:364, 1.861196,1.692772,7.486343,6,0 
13:01:38:405, 1.984454,1.168251,8.702278,6,0 
13:01:38:445, 2.157015,1.168251,8.964539,6,0 
13:01:38:506, 2.329576,1.120567,0.023842,7,0 
13:01:38:547, 2.526789,0.000000,4.577637,7,0 
13:01:38:588, 2.896563,2.384186,0.000000,7,0 
13:01:38:628, 3.118428,0.000000,0.023842,7,0 
13:01:38:689, 2.526789,0.000000,0.000000,6,1 
13:01:38:730, 2.526789,0.000000,0.000000,6,1 
13:01:38:770, 2.526789,0.000000,0.000000,6,1 
13:01:38:868, 2.526789,0.000000,0.476837,0,0 
