==24441== NVPROF is profiling process 24441, command: /home/sbchoi/git/caffe/build/tools/caffe time -model out.prototxt -iterations 1 -gpu 1
==24441== Profiling application: /home/sbchoi/git/caffe/build/tools/caffe time -model out.prototxt -iterations 1 -gpu 1
==24441== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
58.126780,19.166286,13,1.474329,0.000672,18.772365,"[CUDA memcpy HtoD]"
18.068282,5.957699,2,2.978849,2.971089,2.986610,"void magma_lds128_sgemm_kernel<bool=1, bool=0, int=6, int=6, int=4, int=3, int=4>(int, int, int, float const *, int, float const *, int, float*, int, int, int, float const *, float const *, float, float, int)"
14.616541,4.819548,2,2.409774,2.406734,2.412814,"maxwell_sgemm_128x128_raggedMn_nt"
8.580775,2.829360,1,2.829360,2.829360,2.829360,"generate_seed_pseudo(unsigned __int64, unsigned __int64, unsigned __int64, curandOrdering, curandStateXORWOW*, unsigned int*)"
0.087246,0.028768,2,0.014384,0.013344,0.015424,"void cudnn::detail::softmax_fw_kernel<int=2, float, float, int=256, int=1, int=1, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel<int=2, float, float, int=256, int=1, int=1, int=0>, cudnnTensorStruct*, int, float, cudnnTensorStruct*, int, int)"
0.072883,0.024032,2,0.012016,0.010752,0.013280,"void caffe::DropoutBackward<float>(int, float const *, unsigned int const *, unsigned int, float, caffe::DropoutBackward<float>*)"
0.065317,0.021537,2,0.010768,0.010752,0.010785,"void caffe::DropoutForward<float>(int, float const *, unsigned int const *, unsigned int, float, caffe::DropoutForward<float>*)"
0.055221,0.018208,4,0.004552,0.002048,0.008192,"void dot_kernel<float, float, float, int=128, int=0, int=0>(cublasDotParams<float, float>)"
0.054444,0.017952,2,0.008976,0.008928,0.009024,"void gemv2N_kernel_val<float, float, float, int=128, int=4, int=4, int=4, int=1>(float, float, cublasGemv2Params_v2<float, float, float>)"
0.042895,0.014144,2,0.007072,0.007040,0.007104,"void gemmk1_kernel<float, int=256, int=5, bool=0, bool=0, bool=0, bool=0>(cublasGemmk1Params<float>, float const *, float const *, float*)"
0.042507,0.014016,2,0.007008,0.006880,0.007136,"void gen_sequenced<curandStateXORWOW, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateXORWOW>(curandStateXORWOW*, int))>(curandStateXORWOW*, unsigned int*, unsigned long, unsigned long, int)"
0.039693,0.013088,2,0.006544,0.006016,0.007072,"[CUDA memcpy DtoD]"
0.029600,0.009760,2,0.004880,0.004864,0.004896,"void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)"
0.027271,0.008992,4,0.002248,0.001792,0.002720,"void asum_kernel<float, float, int=0>(cublasAsumParams<float, float>)"
0.021157,0.006976,4,0.001744,0.001216,0.002240,"void reduce_1Block_kernel<float, float, float, int=128, int=7>(float*, int, float*)"
0.018827,0.006208,6,0.001034,0.000800,0.001280,"[CUDA memcpy DtoH]"
0.017566,0.005792,2,0.002896,0.002880,0.002912,"void caffe::SoftmaxLossForwardGPU<float>(int, float const *, float const , caffe::SoftmaxLossForwardGPU<float>*, int, int, int, bool, int, float const *)"
0.016692,0.005504,2,0.002752,0.002752,0.002752,"void caffe::SoftmaxLossBackwardGPU<float>(int, float const *, float const , caffe::SoftmaxLossBackwardGPU<float>*, int, int, int, bool, int, float const *)"
0.016304,0.005376,8,0.000672,0.000608,0.000864,"[CUDA memset]"

==24441== API calls:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,us,ms,
51.053299,762.817468,33,23.115680,0.283000,739.647726,"cudaFree"
30.824917,460.573280,8,57.571660,14.413000,460.461592,"cudaStreamCreateWithFlags"
10.654570,159.196220,21,7.580772,1.109000,99.882958,"cudaMallocHost"
3.298853,49.290111,20,2.464505,13.456000,46.166033,"cudaFreeHost"
1.673706,25.007836,15,1.667189,16.613000,18.832199,"cudaMemcpy"
0.908606,13.576018,1408,0.009642,0.149000,4.327549,"cuDeviceGetAttribute"
0.549061,8.203837,27,0.303845,7.346000,2.235999,"cudaMalloc"
0.389493,5.819648,16,0.363728,80.641000,0.613534,"cuDeviceTotalMem"
0.358513,5.356751,15,0.357116,2.626000,2.900329,"cudaEventSynchronize"
0.073876,1.103820,35,0.031537,11.960000,0.165100,"cudaLaunch"
0.063189,0.944137,2,0.472068,462.339000,0.481798,"cudaGetDeviceProperties"
0.059959,0.895877,16,0.055992,39.939000,0.080903,"cuDeviceGetName"
0.019971,0.298393,8,0.037299,21.023000,0.059437,"cudaMemset"
0.011461,0.171252,34,0.005036,1.755000,0.014419,"cudaEventRecord"
0.010013,0.149614,6,0.024935,17.923000,0.036150,"cudaMemcpyAsync"
0.007837,0.117091,214,0.000547,0.298000,0.006903,"cudaSetupArgument"
0.005561,0.083094,50,0.001661,0.606000,0.017615,"cudaEventDestroy"
0.004269,0.063785,4,0.015946,3.417000,0.047424,"cudaBindTexture"
0.003938,0.058833,6,0.009805,5.525000,0.018000,"cudaFuncGetAttributes"
0.003508,0.052419,56,0.000936,0.470000,0.010649,"cudaEventCreateWithFlags"
0.003380,0.050505,15,0.003367,2.477000,0.012250,"cudaEventElapsedTime"
