Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000000,0.003815,0,0 
0.123252,0.001907,0.001907,0,0 
0.123252,0.000000,0.003815,0,0 
0.123252,0.000000,0.006676,0,0 
0.135578,0.000000,0.000000,2,0 
1.392751,0.000000,0.000000,2,0 
1.392751,0.000000,0.000000,2,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000954,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.009537,0,0 
1.417402,0.000000,0.000000,0,0 
1.417402,0.000000,0.055313,0,0 
1.442052,0.001907,0.000000,0,0 
1.466703,0.000000,0.226974,0,0 
1.516003,0.002861,0.179291,1,0 
1.565304,0.013351,0.050545,1,0 
1.614605,0.010490,0.073433,1,0 
1.639256,0.000000,0.108719,1,0 
1.663906,0.002861,0.142097,3,0 
1.737858,0.013351,0.060081,3,0 
1.787159,0.005722,0.090599,3,0 
1.811809,0.011444,0.141144,3,0 
1.910411,0.010490,0.117302,3,0 
1.959712,0.011444,0.057220,3,0 
2.009013,0.023842,0.116348,3,0 
2.082964,0.024796,0.073433,4,0 
2.181566,0.030518,0.039101,4,0 
2.280168,0.000000,0.000000,4,0 
2.280168,0.000000,0.000000,2,0 
2.280168,0.000000,0.000000,2,0 
2.280168,0.005722,0.005722,2,0 
