Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000000,0.001907,0,0 
0.123252,0.000000,0.064850,0,0 
0.123252,0.000000,0.003815,0,0 
0.123252,0.003815,0.724792,0,0 
1.392751,0.000000,0.000000,0,0 
1.417402,0.000000,0.000000,0,0 
1.417402,0.000000,0.062943,2,0 
1.466703,0.003815,0.110626,2,0 
1.491353,0.006676,0.029564,2,0 
1.516003,0.014305,0.087738,2,0 
1.589955,0.006676,0.000000,2,0 
1.614605,0.020981,0.050545,2,0 
1.663906,0.000000,0.000000,2,0 
1.663906,0.011444,0.057220,2,0 
1.762508,0.006676,0.070572,2,0 
1.787159,0.007629,0.028610,2,0 
1.811809,0.011444,0.065804,3,0 
1.910411,0.009537,0.123024,3,0 
1.959712,0.016212,0.088692,3,0 
2.009013,0.014305,0.147820,3,0 
2.082964,0.024796,0.153542,4,0 
