Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000000,0.002861,0,0 
0.123252,0.000000,0.064850,0,0 
0.123252,0.000000,0.002861,0,0 
0.123252,0.002861,0.046730,0,0 
0.332781,0.020981,0.000000,0,0 
1.392751,0.000000,0.000954,2,0 
1.392751,0.000000,0.000000,2,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000954,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000954,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000954,0.000000,0,0 
1.417402,0.000000,0.000000,0,0 
1.417402,0.000000,0.000000,0,0 
1.442052,0.009537,0.072479,0,0 
1.516003,0.010490,0.000000,0,0 
1.516003,0.016212,0.000000,0,0 
1.540654,0.034332,0.069618,2,0 
1.639256,0.000000,0.161171,2,0 
1.663906,0.000000,0.149727,2,0 
1.713207,0.015259,0.037193,3,0 
1.762508,0.009537,0.097275,3,0 
