Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000000,0.003815,0,0 
0.123252,0.002861,0.001907,0,0 
0.123252,0.000000,0.003815,0,0 
0.123252,0.000000,0.007629,0,0 
0.160228,0.065804,0.432014,1,0 
1.491353,0.000000,0.000954,1,0 
1.516003,0.000000,0.000000,1,0 
1.516003,0.000000,0.000954,1,0 
1.516003,0.000000,0.000000,1,0 
1.516003,0.000000,0.000000,1,0 
1.516003,0.000000,0.000954,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.000000,0,0 
1.516003,0.000000,0.007629,0,0 
1.540654,0.000000,0.000000,0,0 
1.540654,0.000000,0.000000,0,0 
1.540654,0.000000,0.011444,0,0 
1.540654,0.075340,0.043869,0,0 
1.762508,0.012398,0.027657,0,0 
1.811809,0.004768,0.169754,2,0 
1.861110,0.008583,0.035286,2,0 
1.885761,0.005722,0.064850,2,0 
1.910411,0.000000,0.000000,2,0 
1.959712,0.000000,0.147820,3,0 
2.009013,0.010490,0.069618,3,0 
2.033663,0.006676,0.047684,3,0 
2.058314,0.003815,0.072479,2,0 
2.107615,0.013351,0.003815,2,0 
3.512691,0.001907,0.053406,2,0 
3.537342,0.017166,0.161171,2,0 
3.586643,0.012398,0.087738,3,0 
3.685245,0.013351,0.119209,3,0 
3.709895,0.021935,0.176430,3,0 
3.808497,0.014305,0.128746,3,0 
3.882448,0.020027,0.117302,3,0 
3.956399,0.018120,0.117302,3,0 
4.030351,0.020027,0.143051,3,0 
4.104302,0.008583,0.102043,3,0 
5.805184,0.015259,0.098228,3,0 
5.879136,0.017166,0.098228,3,0 
5.928437,0.013351,0.142097,7,2 
6.027039,0.009537,0.193596,7,2 
6.076339,0.013351,0.092506,7,2 
6.125640,0.000000,0.021935,7,2 
6.125640,0.136375,0.002861,7,2 
9.330200,0.005722,0.517845,9,2 
9.330200,0.111580,1.235962,9,2 
9.330200,0.006676,0.003815,9,5 
9.330200,0.218391,0.011444,9,5 
9.330200,0.220299,1.226425,9,5 
9.330200,0.006676,1.260757,9,5 
9.330200,0.221252,1.260757,9,5 
9.330200,0.218391,1.262665,12,7 
9.330200,0.215530,0.933647,12,7 
9.330200,0.200272,1.250267,16,10 
9.330200,0.001907,1.246452,16,10 
9.330200,0.072479,0.696182,16,10 
9.330200,0.015259,1.145363,10,6 
99.330200,0.001907,1.227379,10,6 99.330200,0.000000,0.964165,10,6 99.330200,0.206947,0.460625,10,6 99.330200,0.125885,3.540993,12,8 99.330200,0.691414,2.233505,12,8 99.330200,0.481606,2.995491,12,8 99.330200,0.209808,0.000000,12,8 99.330200,0.002861,0.000954,35,22 99.330200,0.000000,0.000000,35,22 99.330200,0.000000,0.000000,35,22 99.330200,0.000000,0.000000,3,1 
9.330200,0.000000,0.008583,3,1 

9.330200,0.000000,0.008583,3,1 
