==19148== NVPROF is profiling process 19148, command: /usr/bin/python conv_net2.py
==19148== Profiling application: /usr/bin/python conv_net2.py
==19148== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,MB,GB/s,,,,
271.807586,3.328000,,,,,,,,,,0.000980,0.287680,"GeForce GTX 1080 (0)","1","7","[CUDA memset]"
349.512363,1.760000,,,,,,,,,,0.000004,0.002117,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
349.586315,0.992000,,,,,,,,,,0.000004,0.003755,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
350.015561,0.992000,,,,,,,,,,0.000004,0.003755,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
350.088840,0.992000,,,,,,,,,,0.000004,0.003755,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
350.166920,1.440000,,,,,,,,,,0.003052,2.069606,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
350.300199,31.488000,,,,,,,,,,0.195312,6.057383,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
351.120323,224.831000,,,,,,,,,,1.327881,5.767704,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
351.490849,1.600000,,,,,,,,,,0.004234,2.584420,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
351.590369,0.992000,,,,,,,,,,0.000122,0.120171,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
351.688736,1.024000,,,,,,,,,,0.000244,0.232831,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
351.773568,1.120000,,,,,,,,,,0.000423,0.369203,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
351.864863,0.992000,,,,,,,,,,0.000038,0.037553,"GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]"
557.093293,10.400000,40,1,1,1024,1,1,28,0,0,,,"GeForce GTX 1080 (0)","1","13","void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>) [223]"
557.128973,9.504000,40,1,1,1024,1,1,28,0,0,,,"GeForce GTX 1080 (0)","1","13","void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>) [229]"
557.142285,16.640000,40,1,1,1024,1,1,28,0,0,,,"GeForce GTX 1080 (0)","1","13","void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>) [235]"
557.160365,8.576000,40,1,1,1024,1,1,28,0,0,,,"GeForce GTX 1080 (0)","1","13","void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>) [241]"
557.170125,8.320000,40,1,1,1024,1,1,28,0,0,,,"GeForce GTX 1080 (0)","1","13","void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>) [247]"
557.179661,8.287000,40,1,1,1024,1,1,28,0,0,,,"GeForce GTX 1080 (0)","1","13","void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>) [253]"
