==6120== NVPROF is profiling process 6120, command: python convolutional_network.py
==6120== Profiling application: python convolutional_network.py
==6120== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
8.074877,2.045281,20,0.102264,0.015456,0.237152,"void fft2d_r2c_32x32<float, bool=1>(float2*, float const *, int, int, int, int, int, int, int, int, int)"
7.857829,1.990305,3,0.663435,0.500896,0.987201,"maxwell_scudnn_128x32_stridedB_small_nn"
7.620950,1.930306,3,0.643435,0.624545,0.661472,"maxwell_scudnn_128x64_stridedB_splitK_small_nn"
5.877612,1.488737,3,0.496245,0.494816,0.497345,"maxwell_scudnn_128x64_small_nn"
5.758472,1.458560,3,0.486186,0.295264,0.861504,"void cudnn::detail::wgrad_alg0_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, int=512>(int, int, int, float const *, int, cudnn::detail::wgrad_alg0_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, int=512>*, float const , kernel_grad_params, int, float, int, int)"
4.840881,1.226144,1,1.226144,1.226144,1.226144,"void cudnn::detail::dgrad_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1>*, kernel_grad_params, int, int, float, int)"
4.722637,1.196194,20,0.059809,0.014208,0.110784,"void tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<float, int=32, int=8>(float const *, tensorflow::functor::Dimension<int=3>, tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<float, int=32, int=8>*)"
4.600844,1.165345,10,0.116534,0.013472,0.243361,"void fft2d_c2r_32x32<float, bool=0, bool=1>(float*, float2 const *, int, int, int, int, int, int, int, int, int, float, float)"
4.570649,1.157697,31,0.037345,0.000640,1.033217,"[CUDA memcpy HtoD]"
3.651037,0.924769,1,0.924769,0.924769,0.924769,"void cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0>*, float const *, kernel_conv_params, int, float, float)"
