Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000000,0.002861,0,0 
0.123252,0.001907,0.002861,0,0 
0.123252,0.000954,0.002861,0,0 
0.123252,0.002861,0.600815,0,0 
1.417402,0.000000,0.000000,0,0 
1.417402,0.000000,0.000000,0,0 
1.417402,0.002861,0.039101,0,0 
1.442052,0.002861,0.000000,2,0 
1.466703,0.012398,0.085831,2,0 
1.516003,0.013351,0.000000,2,0 
1.565304,0.020027,0.074387,2,0 
1.614605,0.008583,0.057220,2,0 
1.663906,0.000000,0.000000,2,0 
1.663906,0.033379,0.071526,2,0 
1.737858,0.006676,0.000000,3,0 
1.762508,0.024796,0.080109,3,0 
1.811809,0.009537,0.143051,3,0 
1.885761,0.012398,0.091553,3,0 
1.935061,0.018120,0.128746,3,0 
2.033663,0.008583,0.199318,3,0 
