Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000954,0.002861,0,0 
0.123252,0.000954,0.064850,0,0 
0.123252,0.000954,0.002861,0,0 
0.123252,0.006676,0.705719,0,0 
1.417402,0.000000,0.000000,0,0 
1.417402,0.000000,0.019073,1,0 
1.442052,0.006676,0.041008,1,0 
1.466703,0.006676,0.050545,1,0 
1.491353,0.006676,0.049591,1,0 
1.516003,0.021935,0.070572,2,0 
1.565304,0.000000,0.142097,2,0 
1.614605,0.009537,0.000000,2,0 
1.639256,0.000000,0.069618,3,0 
1.713207,0.006676,0.109673,3,0 
1.762508,0.003815,0.091553,3,0 
1.787159,0.009537,0.039101,3,0 
2.230867,0.017166,0.000000,3,0 
2.329469,0.035286,0.104904,3,0 
2.403420,0.018120,0.194550,3,0 
2.502022,0.022888,0.187874,4,0 
2.625274,0.029564,0.133514,4,0 
2.699226,0.020981,0.224113,4,0 
2.797828,0.025749,0.072479,4,0 
4.104302,0.024796,0.123024,6,1 
4.227554,0.021935,0.167847,6,1 
4.301506,0.018120,0.145912,6,1 
