Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000000,0.002861,0,0 
0.123252,0.000954,0.064850,0,0 
0.123252,0.000000,0.003815,0,0 
0.123252,0.004768,0.721931,0,0 
0.332781,0.002861,0.000000,0,0 
1.417402,0.000000,0.000000,0,0 
1.417402,0.000000,0.013351,2,0 
1.417402,0.002861,0.112534,2,0 
1.466703,0.002861,0.071526,2,0 
1.491353,0.010490,0.000000,2,0 
1.540654,0.011444,0.049591,1,0 
1.589955,0.000000,0.000000,1,0 
1.639256,0.037193,0.048637,1,0 
1.688557,0.005722,0.040054,3,0 
1.737858,0.008583,0.065804,3,0 
1.762508,0.001907,0.000000,3,0 
1.762508,0.020027,0.035286,3,0 
2.230867,0.013351,0.127792,2,0 
2.329469,0.000000,0.247002,2,0 
2.378770,0.015259,0.213623,2,0 
2.477372,0.020981,0.226021,4,0 
2.600624,0.023842,0.211716,4,0 
2.699226,0.021935,0.173569,4,0 
2.773177,0.021935,0.077248,4,0 
4.079652,0.018120,0.144005,5,1 
4.178254,0.013351,0.167847,5,1 
4.252205,0.019073,0.082970,5,1 
4.326157,0.025749,0.131607,5,0 
