Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000000,0.002861,0,0 
0.123252,0.000000,0.002861,0,0 
0.123252,0.000954,0.002861,0,0 
0.123252,0.002861,0.723839,0,0 
1.392751,0.000000,0.000000,2,0 
1.417402,0.000000,0.021935,2,0 
1.442052,0.005722,0.039101,2,0 
1.466703,0.011444,0.053406,2,0 
1.491353,0.002861,0.073433,1,0 
1.540654,0.014305,0.041008,1,0 
1.565304,0.005722,0.082016,1,0 
1.614605,0.000000,0.061989,2,0 
1.688557,0.011444,0.049591,2,0 
1.713207,0.010490,0.053406,2,0 
1.737858,0.000000,0.078201,2,0 
1.787159,0.017166,0.128746,3,0 
2.280168,0.022888,0.000000,3,0 
2.354119,0.034332,0.156403,3,0 
2.428071,0.015259,0.166893,3,0 
2.551323,0.019073,0.111580,3,0 
2.625274,0.034332,0.153542,3,0 
2.723876,0.019073,0.151634,3,0 
2.797828,0.017166,0.157356,5,0 
4.128953,0.013351,0.182152,5,0 
4.227554,0.015259,0.126839,5,0 
4.301506,0.018120,0.140190,5,1 
