Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000000,0.002861,0,0 
0.123252,0.000000,0.064850,0,0 
0.123252,0.000000,0.002861,0,0 
0.123252,0.004768,0.728607,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000954,2,0 
1.392751,0.000000,0.000000,2,0 
1.392751,0.000000,0.000000,2,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000954,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000954,0.000000,0,0 
1.417402,0.000000,0.000000,0,0 
1.417402,0.000000,0.014305,0,0 
1.417402,0.002861,0.055313,0,0 
1.466703,0.009537,0.024796,0,0 
1.491353,0.000000,0.072479,0,0 
1.516003,0.016212,0.000000,0,0 
1.540654,0.025749,0.143051,2,0 
1.639256,0.010490,0.028610,2,0 
1.663906,0.011444,0.063896,2,0 
1.713207,0.010490,0.037193,3,0 
1.737858,0.000000,0.192642,3,0 
