Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000000,0.002861,0,0 
0.123252,0.000000,0.064850,0,0 
0.123252,0.000954,0.002861,0,0 
0.123252,0.003815,0.722885,0,0 
1.392751,0.001907,0.000000,0,0 
1.417402,0.000000,0.000000,2,0 
1.417402,0.000000,0.002861,2,0 
1.417402,0.000000,0.000000,2,0 
1.417402,0.025749,0.060081,2,0 
1.516003,0.006676,0.000000,1,0 
1.540654,0.019073,0.060081,1,0 
1.589955,0.006676,0.052452,1,0 
1.614605,0.000000,0.074387,3,0 
1.688557,0.010490,0.031471,3,0 
1.713207,0.012398,0.087738,3,0 
1.762508,0.010490,0.040054,3,0 
1.787159,0.008583,0.123024,3,0 
1.861110,0.006676,0.161171,3,0 
1.910411,0.012398,0.132561,3,0 
1.959712,0.014305,0.122070,3,0 
2.058314,0.019073,0.092506,3,0 
