Memory Usage, PCI TX(GB/s), PCI RX(GB/s), Core Util, Mem Util 
0.123252,0.000000,0.002861,0,0 
0.123252,0.000000,0.064850,0,0 
0.123252,0.000000,0.002861,0,0 
0.123252,0.004768,0.728607,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000954,2,0 
1.392751,0.000000,0.000000,2,0 
1.392751,0.000000,0.000000,2,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000954,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000000,0.000000,0,0 
1.392751,0.000954,0.000000,0,0 
1.417402,0.000000,0.000000,0,0 
1.417402,0.000000,0.014305,0,0 
1.417402,0.002861,0.055313,0,0 
1.466703,0.009537,0.024796,0,0 
1.491353,0.000000,0.072479,0,0 
1.516003,0.016212,0.000000,0,0 
1.540654,0.025749,0.143051,2,0 
1.639256,0.010490,0.028610,2,0 
1.663906,0.011444,0.063896,2,0 
1.713207,0.010490,0.037193,3,0 
1.737858,0.000000,0.192642,3,0 
1.787159,0.007629,0.053406,3,0 
2.230867,0.007629,0.183105,3,0 
2.304818,0.021935,0.150681,2,0 
2.428071,0.022888,0.133514,2,0 
2.502022,0.026703,0.154495,2,0 
2.575974,0.032425,0.157356,4,0 
2.699226,0.026703,0.166893,4,0 
2.797828,0.020981,0.012398,4,0 
4.079652,0.013351,0.134468,4,0 
4.128953,0.011444,0.094414,5,1 
4.227554,0.011444,0.154495,5,1 
4.301506,0.022888,0.053406,5,1 
4.375457,0.019073,0.086784,4,0 
4.449409,0.000000,0.000000,4,0 
4.449409,0.000000,0.000000,4,0 
4.449409,0.000000,0.000000,4,0 
4.449409,0.000000,0.000000,1,0 
4.449409,0.006676,0.005722,1,0 
