Memory Usage(%), PCI TX(%), PCI RX(%), Core Util, Mem Util 
0.123258,0.047684,1.645088,0,0 
0.123258,0.309944,19.145012,0,0 
1.392816,0.882149,6.747246,0,0 
1.540725,0.715256,6.031990,0,0 
1.639332,0.715256,6.532669,0,0 
1.836545,0.381470,3.790855,8,0 
1.959802,2.336502,8.249283,8,0 
2.107712,1.096725,9.417534,8,0 
2.280273,0.452995,9.989738,7,0 
2.477486,1.096725,6.055832,7,0 
2.896563,5.698204,6.127357,7,0 
2.896563,5.745888,5.865097,7,0 
2.896563,5.698204,6.198883,48,7 
2.896563,6.914139,6.198883,48,7 
2.896563,6.318092,8.749962,48,7 
2.896563,8.201599,0.166893,66,10 
2.502138,0.143051,0.000000,66,9 
