Memory Usage(%), PCI Throughput(GB/s), Core Util(%), Mem Util(%)
0.12325232061,0.00381469726562,0,0
1.41740168702,0.0,0,0
1.41740168702,0.0,0,0
3.51269113739,0.137329101562,1,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.66089630127,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
5.0903208412,0.0,0,0
8.36883256943,0.564575195312,13,5
53.3066286639,0.680923461914,11,5
96.5435427339,3.40557098389,97,59
96.568193198,5.32531738281,54,28
96.568193198,0.121116638184,67,40
96.568193198,5.49602508545,57,26
96.568193198,0.1220703125,77,35
96.568193198,0.123977661133,83,41
96.568193198,0.110626220703,67,39
96.568193198,0.888824462891,66,39
96.568193198,1.30844116211,56,31
96.568193198,0.87833404541,91,49
96.568193198,0.1220703125,53,33
96.568193198,0.119209289551,72,33
96.568193198,0.331878662109,90,47
96.568193198,0.114440917969,57,30
96.568193198,5.72490692139,57,27
96.568193198,0.1220703125,66,30
96.568193198,0.1220703125,76,42
96.568193198,1.39236450195,49,31
96.568193198,4.59575653076,62,30
96.568193198,0.125885009766,73,33
96.568193198,5.61428070068,71,40
96.568193198,0.175476074219,64,38
96.568193198,4.51946258545,55,25
96.568193198,0.116348266602,88,45
96.568193198,0.110626220703,54,25
96.568193198,0.696182250977,84,41
96.568193198,1.540184021,30,16
96.568193198,0.0,0,0
96.568193198,0.0,0,0
96.568193198,0.0,0,0
96.568193198,0.0,0,0
96.568193198,0.0,0,0
96.568193198,0.0,0,0
96.568193198,0.0,0,0
96.568193198,0.0,0,0
0.024650464122,0.00190734863281,0,0
