Memory Usage(%), PCI Throughput(GB/s), Core Util(%), Mem Util(%)
0.12325232061,0.005,0,0
1.66390632824,0.074,2,0
2.37876978777,0.104,22,3
2.37876978777,0.114,22,3
2.37876978777,0.108,22,3
2.37876978777,0.114,22,3
2.37876978777,0.117,22,3
2.37876978777,0.104,22,3
2.37876978777,0.109,23,3
2.37876978777,0.116,22,3
2.37876978777,0.114,22,3
2.37876978777,0.113,21,3
2.37876978777,0.145,22,3
2.37876978777,0.111,22,3
2.37876978777,0.115,22,3
2.37876978777,0.117,22,3
2.37876978777,0.136,21,3
2.37876978777,0.107,20,3
2.37876978777,0.096,21,3
0.0,0.0,0,0
