Memory Usage(%), PCI Throughput(GB/s), Core Util(%), Mem Util(%)
0.12325232061,0.004,0,0
2.28016793129,0.262,4,0
2.28016793129,0.231,17,2
2.28016793129,0.253,16,2
2.28016793129,0.24,6,1
2.28016793129,0.229,16,2
2.28016793129,0.271,17,2
2.28016793129,0.22,16,2
2.28016793129,0.241,16,2
2.28016793129,0.24,16,2
2.28016793129,0.259,16,2
2.28016793129,0.228,16,2
2.28016793129,0.285,18,2
2.28016793129,0.235,18,2
2.28016793129,0.013,18,2
2.28016793129,0.275,17,2
2.28016793129,0.264,17,2
2.28016793129,0.0,17,2
2.28016793129,0.242,17,2
2.28016793129,0.269,16,2
2.28016793129,0.0,11,1
2.28016793129,0.253,17,2
2.28016793129,0.209,16,2
2.28016793129,0.392,16,2
0.0,0.0,0,0
