Memory Usage(%), PCI Throughput(GB/s), Core Util(%), Mem Util(%)
0.12325232061,0.004,0,0
27.0292339098,0.164,4,0
96.1491353079,0.105,100,45
96.5188922698,0.104,100,49
96.5188922698,0.197,100,29
96.5188922698,0.105,100,70
96.5188922698,3.294,97,65
96.5188922698,0.118,100,58
96.5188922698,0.518,97,71
96.5188922698,0.114,100,59
96.5188922698,0.118,100,55
96.5188922698,3.623,97,62
96.5188922698,0.121,100,46
96.5188922698,4.252,98,61
96.5188922698,0.116,100,72
96.5188922698,0.12,99,58
96.5188922698,3.585,100,62
96.5188922698,0.121,100,58
96.5188922698,0.545,98,75
96.5188922698,0.12,100,62
96.5188922698,0.12,100,77
96.5188922698,3.521,96,66
96.5188922698,0.119,100,51
96.5188922698,3.248,97,59
96.5188922698,0.117,100,68
96.5188922698,0.112,99,61
96.5188922698,3.902,100,61
96.5188922698,0.118,100,59
96.5188922698,4.354,100,75
96.5188922698,0.12,100,58
96.5188922698,0.117,100,76
96.5188922698,2.946,100,64
96.5188922698,0.107,99,54
96.5188922698,4.617,98,64
96.5188922698,0.101,100,56
96.5188922698,0.121,99,60
0.0,0.0,0,0
