Ensembled Results,Labels,Error(%)
51.2664970398,181.973190308,71.8274450466
30.7611469269,14.8550395966,107.075496009
25.5727628708,2.24451208115,1039.34618956
29.0939516068,14.9574804306,94.5110457723
30.8526252747,112.836746216,72.6572891284
30.4653665543,9.89280033112,207.954932219
34.3219268799,20.2215709686,69.7292803469
28.16310215,8.94393920898,214.884767124
31.5573293686,4.86620759964,548.499446898
9.24652175903,124.906105042,92.5972219245
33.2361181259,17.3077487946,92.0302780011
37.4522254944,18.2959899902,104.701825451
27.8857688904,83.8899002075,66.7590868252
35.1915363312,28.6664409637,22.7621397985
27.7560306549,12.1153898239,129.09729739
44.9377174377,75.6038970947,40.5616387983
24.7852720261,1.5277159214,1522.37440082
31.1573667526,21.2799396515,46.4166123725
32.0328626633,21.2021713257,51.0829347203
27.1361206055,9.77631950378,177.569903428
122.53102417,307.614501953,60.1673447149
158.654264832,422.130889893,62.4158599547
152.282537842,383.181610107,60.2583908452
24.9083206177,3.54578995705,602.475919877
25.3846416473,2.4016020298,956.987849458
177.954574585,443.101287842,59.8388496112
39.7243671417,43.646282196,8.98567955159
33.5313310623,12.112449646,176.833605442
33.858603096,16.914730072,100.172293332
32.393022728,23.4741401672,37.994501597
62.2495864868,95.3647003174,34.7247081156
34.9567829132,17.6289291382,98.2921517195
14.8085086823,86.9458007812,82.968115137
44.9281513214,33.5353813171,33.9723884352
25.2766225815,9.02227401733,180.158001552
44.9949234009,48.6702003479,7.55139062661
139.193505859,374.449005127,62.827112917
41.1397975922,27.4915294647,49.6453576545
62.626858139,189.593002319,66.9677375362
45.5185567856,60.3217010498,24.5403296104
48.4662006378,142.137664795,65.9019298595
41.4182662964,56.1769981384,26.2718413783
315.776898193,929.892028809,66.0415523082
29.3950014114,11.4293804169,157.188056914
22.4801324844,0.656575977802,3323.84327853
119.332326508,236.025314331,49.4408780491
32.0858398438,12.1657400131,163.739318851
53.1443744659,75.465965271,29.5783545932
46.0909648895,50.2158966064,8.21439423704
23.2896902084,0.886752009392,2526.40399591
43.0645824432,44.4668998718,3.15362085648
32.1373382568,65.6198959351,51.0250088043
27.8582962036,66.9593429565,58.3952067426
22.5449884415,70.7978973389,68.1558502598
33.3377710342,61.3432197571,45.6536987034
25.1601219177,4.48787021637,460.624989242
39.3095172882,20.1045799255,95.5251859716
19.2638557434,31.6210002899,39.0789172803
45.9785102844,44.8000411987,2.63050893294
32.2816730499,17.9216098785,80.1270827158
30.3562358856,14.1034498215,115.23979076
22.2212202072,0.79552000761,2693.29495106
43.1609035492,34.2075996399,26.1734351535
32.2275249481,10.6823320389,201.689975848
