Ensembled Results,Labels,Error(%)
16.4227155685,3.61637997627,354.120299202
20.2723648071,26.1833000183,22.5752109438
18.7780488968,10.1808996201,84.4439057212
18.7896476746,5.67037010193,231.365454755
18.69656353,3.38569808006,452.221819189
19.2910459518,45.9323997498,58.0012234132
18.3871826172,1.02608001232,1691.98331479
15.9350414276,4.39120006561,262.885798632
16.3145594597,1.43391799927,1037.76097852
16.2182477951,5.00306987762,224.165925958
17.8396688461,21.4134998322,16.6896164291
128.817770386,428.527008057,69.9394045267
19.7516988754,21.7497386932,9.18650033451
19.5205717087,39.0055999756,49.9544380271
16.2947155952,0.644288003445,2429.10429934
27.1136796474,174.708587646,84.4806257021
17.4921718597,1.3283200264,1216.86427308
13.3338517189,89.3469009399,85.0763131361
31.7999044895,142.99079895,77.7608736206
17.3132751465,9.33015060425,85.5626546757
27.8467788696,54.0956993103,48.5231187975
14.451111412,69.4134979248,79.1811220525
26.3401527405,44.2917022705,40.5302768008
19.7456262589,31.7273006439,37.7645565236
16.5302540779,0.153983995318,10635.0468753
18.5662485123,4.35933017731,325.896818023
15.0426370621,6.92013025284,117.375056718
25.4646948814,67.7356948853,62.4057966415
17.8477548599,21.7581596375,17.9721301925
22.4324453354,34.9959030151,35.8997956827
24.3928104401,8.16079998016,198.902197081
16.3981109619,0.998495995998,1542.28109353
17.1919490814,26.3057003021,34.6455373399
35.6203989029,146.798400879,75.735158769
19.0130811691,0.433472007513,4286.23044616
20.6728126526,24.2360305786,14.7021514702
16.7626156807,3.67750811577,355.814512246
19.4780000687,4.5401597023,329.015747151
26.3660739899,69.2155990601,61.9073238577
14.7444675446,76.4661941528,80.7176652272
17.1658683777,8.46051025391,102.894008311
20.7316801071,32.3427505493,35.9000710978
20.8467147827,25.5758991241,18.4907843063
29.8252601624,29.1263790131,2.39947831819
28.736177063,85.2947006226,66.3095399207
58.5912067413,214.109802246,72.6349722775
18.9809137344,1.87798202038,910.707958248
33.7525749207,41.8367004395,19.3230475489
23.9766042709,34.0052986145,29.4915638214
84.3762794495,324.123413086,73.9678542052
18.1832975388,7.40635967255,145.509242633
35.240396595,182.129898071,80.6509546383
17.1628240585,1.74697804451,882.4292934
19.2987874985,13.2099199295,46.0931451626
5.28295068741,107.435203552,95.0826633052
26.452501297,22.8868808746,15.5793200563
24.1599571228,18.8696689606,28.0359352
34.6806877136,139.554000854,75.1489118898
28.8616327286,46.3400001526,37.7176680329
20.6681274414,26.8631210327,23.0613322397
20.8254756927,1.1374399662,1730.90767966
31.9224103928,60.5946006775,47.3180612862
10.9088463068,104.013298035,89.5120657522
40.5538116455,128.24319458,68.3774162221
21.1714147568,9.21100997925,129.849004664
23.0845209122,22.9467411041,0.60043300885
29.2484554291,50.1333808899,41.6587213751
1.98324239254,62.7390022278,96.8389003298
16.5565443039,1.98146808147,735.56956878
19.0997955322,11.3924207687,67.6535296575
21.2541040421,10.4041004181,104.285841043
14.3645208359,1.64191794395,774.862284608
17.6801555634,16.9476108551,4.32240694287
17.5872209549,5.57420969009,215.510573385
18.4288036346,1.75228393078,951.701913768
17.2500177383,0.848640024662,1932.66605829
19.5824251175,5.64828014374,246.697129377
7.90924563408,103.967399597,92.3925714554
17.4607070923,0.650175988674,2585.53551599
15.6968885422,0.865823984146,1712.942218
19.2097665787,10.8189496994,77.5566678135
17.6854755402,6.13174009323,188.425068109
15.2016280174,1.42256009579,968.610602986
19.0549232483,3.56383991241,434.673939251
71.5436073303,220.640594482,67.5745945581
17.1823940277,2.19702386856,682.075892465
19.0567499161,0.481792002916,3855.38942131
65.2540458679,210.303512573,68.9714902669
17.9914941788,3.32643413544,440.864284283
28.2387283325,55.6368026733,49.2445162632
19.2581596375,51.1107025146,62.3206907948
31.0174348831,39.1758003235,20.8250128217
9.23193717003,112.632301331,91.8034728395
145.410629272,368.846008301,60.576873275
20.9743959427,2.55439996719,721.108526936
24.7305772781,66.4048995972,62.757902763
14.1001215935,14.7445192337,4.37042151063
20.7011728287,21.5618305206,3.99157989454
17.8735643387,3.23228597641,452.969770284
16.8782491684,3.18368005753,430.149037071
34.9104366302,104.217498779,66.5023273067
26.0789426804,32.0148696899,18.5411562411
25.4607570648,18.0580406189,40.9940181338
19.5651638031,25.2155895233,22.4084616978
19.5581466675,26.8901996613,27.2666364926
16.725012207,2.54949998856,556.011464291
5.67265677452,39.5249023438,85.6478917388
19.2007013321,71.1560974121,73.0160843126
16.3375573158,17.1768798828,4.88635056374
17.195990181,0.732159972191,2248.66570615
44.7531404495,160.862991333,72.1793433787
14.3774934769,0.855711996555,1580.17902457
17.7079364777,3.47078990936,410.199030771
19.7900291443,16.8020000458,17.7837703272
16.6405822754,17.0818710327,2.58337483335
28.1216156006,48.2173995972,41.677452879
21.4906795502,16.667470932,28.9378552861
19.6883293152,13.684129715,43.8771023462
19.3389474869,4.28794002533,351.007881935
19.4957185745,19.1940898895,1.57146646042
16.902466774,3.39732003212,397.523536617
97.4497871399,120.606193542,19.2000142965
4.60451359749,108.723495483,95.7649323387
17.8921321869,3.18585205078,461.612149645
18.9042976379,0.586784005165,3121.67909683
70.2969047546,442.763000488,84.1231302803
24.9928340912,49.7849006653,49.798365052
16.547190094,1.33321595192,1141.14852288
20.6997085571,14.7951793671,39.9084664239
19.9184738159,9.53701972961,108.854279226
20.1349256516,12.6010904312,59.7871689078
21.0221187592,19.9214401245,5.52509571479
13.8601480484,43.0433006287,67.799523164
17.6340242386,1.33411204815,1221.77985073
21.9241348267,23.8775005341,8.18077966164
20.9100183487,12.8500499725,62.7232453834
18.8604511261,9.50588989258,98.4080537354
41.4117948532,164.467498779,74.8206818
16.6821280479,0.167231991887,9875.44061976
40.1197132111,177.236709595,77.3637677529
18.9438079834,18.6142807007,1.77029286285
19.5610980988,39.0488014221,49.9060217309
16.1220907211,0.759872019291,2021.68500903
27.3086168289,19.726518631,38.4360684202
19.1948129654,46.1304969788,58.3901882214
23.8790393829,76.6389007568,68.8421426363
19.3913740158,14.6799402237,32.0943663279
17.4115743637,1.06870400906,1529.22326633
5.12975497246,86.0512008667,94.0387177392
23.4968755722,40.7900009155,42.3955012385
34.464540863,88.53099823,61.0706514644
18.5618227005,23.7278289795,21.7719298443
17.1592399597,61.822101593,72.2441658928
21.4752672195,37.4308013916,42.6267501065
