Ensembled Results,Labels,Error(%)
7.17215843201,3.61637997627,98.3242490851
25.260900116,26.1833000183,3.52285579625
13.6125878334,10.1808996201,33.7071215847
11.3286746025,5.67037010193,99.7872166872
8.50686836243,3.38569808006,151.258917992
27.2708835602,45.9323997498,40.6282194948
3.28886327744,1.02608001232,220.526980152
7.58129019737,4.39120006561,72.6473420499
9.28836746216,1.43391799927,547.761410827
9.77913198471,5.00306987762,95.4626304231
18.7823793411,21.4134979248,12.2871965753
264.678118896,428.527008057,38.2353704853
17.9281316757,21.7497406006,17.5708253034
25.9857660294,39.0055999756,33.3793966876
3.78011677265,0.644288003445,486.712270358
112.451831055,174.708602905,35.6346343656
0.732106614113,1.32831990719,44.8847668283
60.5098491669,89.3469009399,32.2753799737
75.3009536743,142.99079895,47.3386020449
12.0877624512,9.33014965057,29.5559332259
33.5897541046,54.0956993103,37.9067938249
62.5092918396,69.4134979248,9.94648921552
26.9989971161,44.2917022705,39.0427648249
21.3079803467,31.7273006439,32.8402356512
-4.07740471363,0.153983995318,2747.94058967
10.9452931404,4.35933017731,151.077406281
12.3995258331,6.920129776,79.1805390143
80.8102027893,67.7357025146,19.3022287941
18.5124677658,21.7581596375,14.9171250038
22.972949791,34.9958992004,34.355309291
15.2412981987,8.16079998016,86.7623056042
2.50016953945,0.998495995998,150.393546842
29.7799156189,26.3057003021,13.2070816472
134.421864319,146.798400879,8.43097505556
0.872547886893,0.433472007513,101.292787486
20.6829771042,24.2360286713,14.6602053301
9.52242393494,3.67750787735,158.936873897
9.01922006607,4.54016017914,98.654226067
39.5408958435,69.2155990601,42.8728547026
69.7566085815,76.4662017822,8.77458673806
11.7018941879,8.46051025391,38.3119201649
19.9206453323,32.3427505493,38.4076957154
21.2945425034,25.5758991241,16.7398088333
45.0210597992,29.1263809204,54.571417308
60.9257190704,85.2947006226,28.5703348206
156.69188385,214.109802246,26.8170433085
6.229611063,1.87798190117,231.71837594
57.3360275269,41.8367004395,37.0472023955
26.5762191772,34.0052986145,21.8468289941
261.494412231,324.123413086,19.3225784766
10.6349014282,7.40636014938,43.5914702191
110.34278183,182.12991333,39.4153437992
4.65250668526,1.7469779253,166.317428393
14.5223827362,13.2099199295,9.93543347504
73.7129127502,107.435195923,31.3884876208
25.9635896683,22.8868789673,13.4431204245
19.0229434967,18.8696708679,0.812269752117
190.699014282,139.554000854,36.6489051654
27.7322032928,46.3399963379,40.1549298998
18.7573293686,26.8631191254,30.1744176428
3.80855090618,1.13744008541,234.835298582
47.331211853,60.5946006775,21.8887304746
88.9219535828,104.013298035,14.5090529164
96.8762382507,128.24319458,24.4589636371
12.6450844765,9.21100997925,37.2822796301
26.9276700974,22.9467411041,17.3485593234
45.9977581024,50.1333808899,8.24923975616
94.2370361328,62.7389984131,50.2048781722
0.640205767751,1.98146796227,67.6903295969
