Ensembled Results,Labels,Error(%)
13.8748626709,40.2203903198,65.5029139186
13.8765869141,38.7504501343,64.1898691087
15.7994356155,40.5898628235,61.0754151
13.8765573502,44.0488204956,68.4973236649
13.8764448166,39.7713661194,65.1094589637
15.6689167023,39.7551345825,60.5864327544
15.668715477,38.8833961487,59.7033257664
13.8771123886,40.0786514282,65.375301079
15.6687192917,42.9671783447,63.5332830888
15.8016357422,33.2418289185,52.4646018095
13.8769245148,38.1410522461,63.6168283318
13.8774366379,41.3438072205,66.4340621465
13.8752002716,39.9524040222,65.2706749164
13.8750553131,42.5946350098,67.4253452109
15.80078125,56.79063797,72.1771372627
15.8038549423,39.0584526062,59.5379389407
13.8730106354,29.8426589966,53.5128198966
13.8728256226,38.3807868958,63.854764989
15.7993793488,37.4975547791,57.8655743238
13.8795013428,38.3598747253,63.817657273
13.8783769608,39.1924171448,64.5891272552
13.8767223358,40.7628669739,65.9574427267
13.8763217926,50.3553237915,72.4431882316
13.8740491867,32.8175048828,57.7236318354
15.66817379,43.1244354248,63.6675271557
15.6679458618,35.5087776184,55.8758512326
13.8741350174,37.1232872009,62.6268682989
17.8440608978,43.0385780334,58.5393809155
15.8009090424,39.7301292419,60.2294043744
13.8752861023,33.9871864319,59.1749492707
15.7997941971,2.15433192253,633.396466526
15.7997369766,39.7452049255,60.2474386376
13.877661705,34.5983352661,59.8892212637
15.6659994125,31.3382759094,50.0100150442
15.8009128571,39.7813224792,60.2805742185
13.875544548,31.3389930725,55.7243446976
13.8768548965,2.13674902916,549.43775367
15.6697835922,40.6979866028,61.4973985196
15.8000802994,33.419834137,52.7224454956
13.8760042191,39.9376525879,65.2558342318
15.8022460938,40.0466156006,60.5403706237
13.8735370636,39.8475036621,65.1834223262
13.8767223358,39.7993202209,65.1332679584
13.8751344681,42.5410461426,67.3841249188
13.8759841919,45.9958114624,69.8320700283
13.8765764236,37.1486549377,62.6458173334
13.8787441254,38.9355010986,64.3545254748
13.8759117126,29.0150051117,52.1767731585
15.8001441956,40.0679130554,60.5665905941
13.8766860962,39.1025619507,64.512079506
15.801609993,54.8630142212,71.1980644569
15.6687679291,2.15499806404,627.089652215
15.8017339706,41.5402793884,61.960453316
13.8777484894,36.065196991,61.5203862803
15.6668405533,50.4351272583,68.9366491076
13.8782281876,41.7399368286,66.7507206718
13.8741455078,40.747718811,65.9511110986
15.6666612625,40.9422683716,61.7347502089
13.8758354187,39.7635993958,65.1041766099
13.8759584427,39.2936210632,64.6864858284
15.8015871048,38.8829689026,59.3611610667
13.8744525909,52.8588485718,73.7518826728
13.8754720688,38.8894004822,64.3206840508
13.8762788773,35.9326858521,61.3825725848
13.8736991882,40.1988296509,65.4873057034
13.8737812042,37.0138664246,62.5173413523
13.8760213852,40.4586181641,65.7031752075
13.8768844604,39.0152397156,64.4321435377
15.7989692688,51.8212165833,69.5125465775
13.8771390915,39.3048858643,64.6936028782
15.8006830215,34.5705070496,54.2943266673
15.7998771667,39.169960022,59.6632798249
13.8743600845,38.9394645691,64.3694122709
13.8756971359,37.3484687805,62.8480160259
13.8749027252,62.0198364258,77.6282822967
15.7996053696,46.2315292358,65.8250427128
15.7983322144,40.4399871826,60.9338842196
13.8773641586,36.9838104248,62.4771920491
17.8410663605,33.7936859131,47.2059176784
13.8761568069,39.3674201965,64.7521815306
13.8758325577,33.5036964417,58.5841741915
15.6681365967,82.8159942627,81.0807842903
13.8743467331,25.6193790436,45.8443285862
15.6709346771,40.2226257324,61.0395035337
13.876206398,33.4462165833,58.5118802198
13.8747177124,42.9702110291,67.7108457694
13.8761796951,2.15779089928,543.073418271
17.8425636292,39.9347457886,55.32070312
15.8023033142,43.1055450439,63.3404396161
13.8737316132,38.2459411621,63.7249569716
15.6696043015,40.9704399109,61.7538783193
13.8729810715,45.3567047119,69.4136045385
13.875544548,35.649520874,61.0778933129
15.6688423157,41.0022964478,61.7854518572
13.8751411438,37.3675231934,62.8684484331
15.6691856384,36.9951972961,57.6453518737
15.6689167023,41.1817779541,61.9518207307
13.876001358,47.6027832031,70.8504410366
15.8017148972,41.8414001465,62.2342587919
13.8756570816,39.0914039612,64.5045824003
15.8013305664,41.2407608032,61.6851623039
15.8041448593,58.2218933105,72.8553230397
13.8764877319,41.7981758118,66.8012121045
15.8004417419,41.8555450439,62.250063342
13.8741388321,31.796661377,56.3660515561
15.8010826111,40.3566436768,60.8463906522
13.8757991791,31.374540329,55.7736972922
13.8749456406,35.1706237793,60.549617409
15.7982988358,40.664478302,61.1496335489
15.6697874069,2.14845204353,629.352440241
15.7985696793,40.2587471008,60.7574233751
13.8766260147,39.5734825134,64.9345341037
13.874370575,38.4273376465,63.8945307568
15.668838501,36.762424469,57.3781144
13.8768053055,39.8312721252,65.1610290983
15.7997112274,39.4614944458,59.9617007685
13.876999855,38.3847312927,63.8476045352
13.8751049042,39.484703064,64.8595435004
15.6687335968,44.9074020386,65.1087952419
15.6702394485,45.5985069275,65.6343145764
13.8772850037,32.7745933533,57.6584067601
13.8772115707,41.8386459351,66.8315949032
13.875828743,41.4569549561,66.5295515368
15.7996168137,38.9095001221,59.3939352495
15.667807579,43.2433242798,63.7682628707
13.876616478,40.1821174622,65.4656913214
13.8759155273,34.0686378479,59.2707064213
13.8740100861,40.6978797913,65.9097472467
13.8758125305,39.7346763611,65.0788333988
15.6682481766,41.0310745239,61.8137025209
13.8737049103,40.451839447,65.7031544179
15.6695785522,40.4562759399,61.2678671277
15.668009758,2.14187598228,631.508728217
13.8766136169,39.6826553345,65.0310355999
15.6692457199,32.3930282593,51.6277218836
15.8017902374,37.0221099854,57.3179642012
13.8744068146,37.6755065918,63.1739342887
15.668674469,43.7236557007,64.1643082723
13.8773508072,39.831111908,65.1595194248
15.8004150391,1.97749209404,699.012804485
15.8003063202,42.4716796875,62.7980187352
17.8395805359,46.3322868347,61.4964385429
15.8030223846,39.6670265198,60.160809188
13.8749456406,51.2847862244,72.9452988653
15.7983283997,40.7574920654,61.2382224738
13.877453804,41.0989151001,66.2340142794
13.8732585907,35.6384315491,61.0721965371
13.8743934631,48.8165512085,71.5785054051
13.8752336502,40.7198562622,65.9251408923
15.8021936417,43.9539833069,64.048324059
15.7998771667,41.1567497253,61.6104836456
13.8758487701,57.9052124023,76.0369607597
17.8432273865,2.30367398262,674.555233123
13.8772983551,36.1441230774,61.6056576462
13.8756141663,32.0365447998,56.6881689241
13.8747673035,18.6478652954,25.5959484709
13.8754320145,36.6365394592,62.1267941261
13.8760671616,39.9861373901,65.2978055215
13.8761863708,2.30594611168,501.756749673
13.8769407272,1.46306300163,848.485520565
13.875825882,80.371421814,82.7353733842
15.80103302,39.6757583618,60.174591054
15.6695299149,37.5305137634,58.2485600554
13.8772783279,91.4366989136,84.8230759719
13.8751745224,42.3424758911,67.2310741628
13.8744697571,41.9348564148,66.9142309208
15.6695108414,33.3066673279,52.9538314743
13.875038147,40.8082084656,65.9993940712
15.66817379,37.7005119324,58.440421663
13.8764209747,40.0387954712,65.3425613547
15.8017749786,47.7317962646,66.8946567797
13.8771324158,41.7047653198,66.7253075054
13.877407074,42.711681366,67.5091061036
13.8786020279,86.9095230103,84.0309766442
13.8743667603,2.07070302963,570.031702359
15.8014287949,41.6355285645,62.0482089704
13.8766460419,41.8828582764,66.8679583654
13.8771390915,40.6015853882,65.8211891018
15.6679048538,39.6858711243,60.5201941901
13.8758687973,37.9374809265,63.4243801686
15.8006229401,37.94090271,58.354646802
13.8739500046,40.6668548584,65.8838873749
13.8775920868,39.3281784058,64.7133616421
13.876033783,45.1138496399,69.2421863935
13.8770494461,44.9893836975,69.1548354176
15.8019189835,74.8008956909,78.8746928262
13.8753824234,39.3738212585,64.7598785693
15.8005399704,36.8245849609,57.092415333
13.8743238449,39.1417732239,64.5536655543
15.6659584045,39.5417823792,60.381253798
13.8753128052,40.433391571,65.6835297113
13.8768253326,38.5411109924,63.9947448963
15.6669750214,40.0506629944,60.8821081849
13.8748598099,38.2386932373,63.7151308394
13.8752832413,41.2546577454,66.3667474182
15.67029953,40.5055847168,61.3132370768
15.667183876,40.1392707825,60.9679409451
13.8762264252,55.58618927,75.0365574482
13.8748626709,46.1912612915,69.962148071
13.8766260147,44.4007148743,68.7468410047
15.7993907928,27.9233036041,43.4186190258
15.6718091965,39.5103721619,60.3349491818
17.8433113098,38.2438812256,53.3433565371
15.6681098938,45.7676544189,65.7659757907
13.8761568069,41.0807113647,66.2222090466
13.8756303787,48.4843406677,71.3812125985
13.8765172958,31.0150279999,55.2587303939
15.7994661331,43.8464622498,63.9663833239
15.6685028076,42.2580718994,62.9218700633
15.6657791138,83.8590316772,81.3189124648
13.8773117065,39.2121543884,64.6096677855
13.8768377304,42.033000946,66.9858505982
13.8756799698,41.1118812561,66.248978286
13.8779363632,44.1004371643,68.5310684982
13.8734607697,40.6911964417,65.9054980368
13.8773841858,38.0093040466,63.4895072828
13.8746910095,41.3484802246,66.4444958215
15.8009319305,40.9972038269,61.4585131287
13.8759946823,33.4596633911,58.5291862619
13.877530098,38.9502563477,64.3711456631
15.6692609787,39.4559936523,60.2867409277
15.802148819,36.936958313,57.218597468
13.876742363,63.6588401794,78.201389903
15.6666536331,40.8580169678,61.6558639019
13.8759384155,41.9094085693,66.89063652
13.8774604797,27.86054039,50.1895502188
15.6704864502,37.3861541748,58.0847862101
15.8021259308,42.0971984863,62.4627611837
15.7986526489,58.2747764587,72.8893809484
13.8745326996,40.6952018738,65.9062197489
13.8768148422,39.5327606201,64.8979362317
13.8765468597,35.8492546082,61.2919515024
13.8764705658,29.9917697906,53.7324050476
13.8783903122,28.970993042,52.0955657541
13.8778009415,40.4801445007,65.7170172868
13.8773441315,33.9522972107,59.1269361088
13.8757925034,39.6375579834,64.9933214625
13.8758029938,90.7168731689,84.7042755013
13.8767948151,49.6887779236,72.0725777631
13.8743600845,31.2838382721,55.6500709284
17.843252182,41.1503410339,56.6388716747
13.8738079071,40.4453773499,65.6974200362
13.8746118546,49.2682342529,71.838625709
17.8429965973,54.8481025696,67.468343003
15.6673927307,37.5403900146,58.2652371896
15.6684951782,35.4773139954,55.8351706663
15.7998313904,40.1027946472,60.60166996
13.8752202988,41.0280342102,66.1811233078
13.8772115707,40.3884277344,65.6406244333
13.8752269745,39.2844238281,64.6800802395
15.6677408218,40.4380493164,61.2549539686
15.7991456985,41.1276359558,61.5850866908
13.8741025925,41.8210945129,66.8251088259
17.8391857147,39.6662216187,55.0267583179
13.8763980865,51.395526886,73.0007669396
13.8751573563,31.4875011444,55.9343966591
15.8011388779,31.2241458893,49.3944880545
15.7997407913,39.0007972717,59.4886722924
15.6708860397,39.5825042725,60.4095639531
15.7997865677,45.0422096252,64.9222658055
13.8765602112,33.447933197,58.512951669
13.8750619888,33.2364883423,58.2535259263
17.8397350311,39.0948905945,54.3681162427
15.8007698059,40.1378631592,60.63375436
15.8006639481,41.2407722473,61.6867893421
15.8033838272,39.5179290771,60.0095850257
13.8761034012,37.0328445435,62.5302793446
13.8765106201,39.0787391663,64.4908947521
13.8748006821,50.2302970886,72.3776256836
13.8763217926,30.8564949036,55.0294943221
15.799744606,40.2452812195,60.741373579
13.877661705,2.20724105835,528.733397855
15.6676959991,39.9812278748,60.8123691243
15.6679344177,22.4369888306,30.1691749457
17.8424530029,50.1657524109,64.4330003131
17.8425750732,37.8248138428,52.8283862879
15.6707696915,40.6149940491,61.4162945031
15.7998771667,39.2003326416,59.6945329235
13.8762454987,55.6648101807,75.0717815194
15.668091774,63.6912384033,75.3999260075
13.8748168945,32.9939689636,57.9474148447
15.6682710648,39.5444145203,60.3780426267
13.876414299,37.1742591858,62.6719816267
13.8756666183,54.7841949463,74.6721355823
13.8752994537,41.3067512512,66.4091243358
13.8740530014,45.3972854614,69.4385845753
13.8757762909,39.206237793,64.6082433
13.8737945557,29.9105854034,53.6157705758
13.8776416779,45.1241569519,69.2456488602
15.8012218475,44.4949760437,64.4876270255
13.8763217926,41.4160232544,66.4952820135
15.6698846817,47.8237876892,67.2341204266
13.8743600845,38.9447937012,64.3742878933
15.8013839722,2.09958696365,652.59487917
15.8018693924,29.8289661407,47.0250852214
17.8448429108,46.9306945801,61.9761798319
13.8761796951,41.8088111877,66.8103940272
13.8764514923,57.1489753723,75.7188096516
15.8012256622,41.204044342,61.6512749791
13.8753595352,36.6971740723,62.1895693987
15.6697835922,35.4286003113,55.770808176
13.8774366379,83.5011138916,83.3805371077
13.8745059967,40.2657241821,65.5426388609
15.80286026,33.2987098694,52.5421245388
13.8763389587,45.5863761902,69.5603377183
15.6693429947,39.7280464172,60.5584859871
13.8760900497,39.3764228821,64.7604098237
15.6714353561,40.7432479858,61.5361167043
13.8733348846,41.8699073792,66.8656184046
13.8749027252,41.4106216431,66.4943384699
13.8748826981,40.1172447205,65.4141684088
15.6708669662,40.5607566833,61.3644610021
13.87778759,31.6139812469,56.1023729292
13.8766956329,40.6650314331,65.8756057873
13.8752536774,40.6164970398,65.8383792581
13.8748168945,40.132724762,65.4276728609
15.8014097214,2.14044213295,638.231110205
13.8769207001,36.9761161804,62.4705833561
13.8765964508,35.2174034119,60.5973322663
13.8785486221,54.7537956238,74.652809976
13.8747873306,41.0290985107,66.1830558451
15.8002986908,38.3541030884,58.8041502251
13.8763484955,38.0439376831,63.5254672871
15.6701049805,40.6263275146,61.4286942997
13.8761501312,40.1118507385,65.4063577827
13.8759908676,46.8241500854,70.3657389567
15.7974128723,39.9623222351,60.4692320447
15.6679124832,32.2506256104,51.4182680593
13.8781051636,42.0260658264,66.977386794
13.8764247894,2.2949090004,504.661221296
13.8752832413,39.3799133301,64.7655820749
15.6688909531,42.9702110291,63.5354572905
13.8756008148,40.1154670715,65.4108456719
13.8748168945,46.1064071655,69.9069657614
13.8764810562,28.5367088318,51.37322549
15.6704301834,34.8316650391,55.0109644031
13.8752269745,75.2774658203,81.5678877825
15.6697502136,29.6730995178,47.1920680069
13.8773508072,49.9257926941,72.2040451271
15.6675052643,39.2392692566,60.0718729958
13.8780193329,39.6061859131,64.9599702346
13.8733577728,38.6455116272,64.1009856289
15.7998352051,39.5560417175,60.0570873145
13.8753232956,39.3944816589,64.7785103109
13.8777351379,38.6856842041,64.1269492231
15.7992887497,37.6297683716,58.0138559619
15.6668548584,30.1782550812,48.0856172225
17.8413848877,38.7345161438,53.9393113329
15.6690702438,62.6794052124,75.0012461179
13.8758058548,39.5755195618,64.9384114007
13.8753662109,39.6759376526,65.0282588595
13.8758821487,33.683265686,58.8048193483
15.6696271896,65.9557418823,76.2422091808
13.8752269745,41.873790741,66.8641727225
