Ensembled Results,Labels,Error(%)
33.1018791199,40.2203903198,17.6987621039
32.8393809001,38.7504501343,15.254195019
33.4606297811,40.5898628235,17.5640727671
37.2425282796,44.0488204956,15.4517014063
33.0786266327,39.7713661194,16.8280351915
32.9280211131,39.7551345825,17.1729099678
32.8773593903,38.8833961487,15.4462761829
33.231033961,40.0786514282,17.0854487944
36.7074057261,42.9671783447,14.5687309704
27.0390348434,33.2418289185,18.659605313
32.8069922129,38.1410522461,13.9850888191
32.6161937714,41.3438072205,21.1098445834
33.7227274577,39.9524040222,15.5927452102
33.9904658,42.5946350098,20.2001242828
46.8414293925,56.79063797,17.5190998607
32.5260632833,39.0584526062,16.7246495625
27.5072485606,29.8426589966,7.82574513974
33.7148507436,38.3807868958,12.1569580239
32.9848715464,37.4975547791,12.0346066809
32.8089523315,38.3598747253,14.4706478672
33.0294475555,39.1924171448,15.7249030252
33.6701176961,40.7628669739,17.400025573
41.679822286,50.3553237915,17.2285686047
27.9899177551,32.8175048828,14.7104027102
35.9115778605,43.1244354248,16.7256857817
29.673479716,35.5087776184,16.4333956103
32.9002215068,37.1232872009,11.3757859624
34.8607762655,43.0385780334,19.0010965549
33.3411617279,39.7301292419,16.0809129896
29.4641284943,33.9871864319,13.3081270104
32.8066501617,2.15433192253,1422.8224499
33.4240849813,39.7452049255,15.9041070642
29.4830067952,34.5983352661,14.7848976881
28.5345153809,31.3382759094,8.94676062164
32.5597108205,39.7813224792,18.1532719595
26.9264593124,31.3389930725,14.0800112813
33.1146602631,2.13674902916,1449.76835422
35.8531506856,40.6979866028,11.9043626517
28.4926503499,33.419834137,14.7432921625
32.8230107625,39.9376525879,17.8143715625
33.1905339559,40.0466156006,17.1202523406
33.1725870768,39.8475036621,16.7511537031
32.583255132,39.7993202209,18.1311264837
37.3676420848,42.5410461426,12.1609704672
36.470070521,45.9958114624,20.7100182354
33.4344806671,37.1486549377,9.99813930506
33.6688365936,38.9355010986,13.5266385597
27.7325878143,29.0150051117,4.41984170751
32.8861122131,40.0679130554,17.9240701465
32.8300704956,39.1025619507,16.0411265712
45.3215490977,54.8630142212,17.3914343915
33.0927454631,2.15499806404,1435.62761913
34.242307663,41.5402793884,17.5684223431
31.537103653,36.065196991,12.5552990578
40.5033823649,50.4351272583,19.6921182384
33.4373162587,41.7399368286,19.8913108181
33.2781715393,40.747718811,18.3312035365
33.3405946096,40.9422683716,18.5668114258
33.5892162323,39.7635993958,15.5277270098
32.9183724721,39.2936210632,16.224640078
33.321999232,38.8829689026,14.3018134355
46.0158303579,52.8588485718,12.9458329093
33.3659420013,38.8894004822,14.2029921067
33.3697611491,35.9326858521,7.13257203626
33.0432898204,40.1988296509,17.8003685497
33.5715592702,37.0138664246,9.30004748721
33.1196988424,40.4586181641,18.139322732
33.1579494476,39.0152397156,15.0128265535
39.5116850535,51.8212165833,23.7538451263
33.2729663849,39.3048858643,15.346487712
29.3342475891,34.5705070496,15.1466087927
32.6980527242,39.169960022,16.5226293163
33.2954273224,38.9394645691,14.4943884287
32.9558728536,37.3484687805,11.7611138297
50.2851276398,62.0198364258,18.9208960589
35.1695009867,46.2315292358,23.9274547737
33.2412389119,40.4399871826,17.8010646694
33.3881867727,36.9838104248,9.72215575096
33.2104345957,33.7936859131,1.72591802753
32.4619433085,39.3674201965,17.5410957933
28.9056126277,33.5036964417,13.724108986
66.458480835,82.8159942627,19.7516356271
27.9407587051,25.6193790436,9.0610301585
33.2199656169,40.2226257324,17.4097538091
27.948884964,33.4462165833,16.4363332563
35.8639596303,42.9702110291,16.537622759
32.6891231537,2.15779089928,1414.93470311
33.3250096639,39.9347457886,16.55134143
33.1643021901,43.1055450439,23.0625615421
33.0434322357,38.2459411621,13.6027739632
32.7276248932,40.9704399109,20.1189321756
38.1629568736,45.3567047119,15.8603846643
28.0595798492,35.649520874,21.2904432898
32.8154621124,41.0022964478,19.9667702656
33.6238454183,37.3675231934,10.018533355
31.5617141724,36.9951972961,14.686995937
33.0189501444,41.1817779541,19.8214555446
38.9746754964,47.6027832031,18.1252169015
34.2169348399,41.8414001465,18.222299636
32.5154666901,39.0914039612,16.8219521551
33.1653226217,41.2407608032,19.5812056429
48.5713386536,58.2218933105,16.575473775
33.2030118306,41.7981758118,20.5634906648
35.4222405752,41.8555450439,15.3702561083
28.7960904439,31.796661377,9.43674839774
33.7329667409,40.3566436768,16.4128538262
37.7975273132,31.374540329,20.4719715951
30.4653657277,35.1706237793,13.3783753199
33.0282948812,40.664478302,18.778510729
32.5442721049,2.14845204353,1414.77768391
34.3176930745,40.2587471008,14.7571756553
33.2462323507,39.5734825134,15.9886109609
33.1531766256,38.4273376465,13.7250232359
29.1703974406,36.762424469,20.6515950405
32.8383827209,39.8312721252,17.5562793533
32.7141189575,39.4614944458,17.0986314204
32.7425320943,38.3847312927,14.6990717621
35.0138924917,39.484703064,11.322892729
37.3235149384,44.9074020386,16.8878330875
37.9165706635,45.5985069275,16.8469030713
29.0835221608,32.7745933533,11.2619892874
32.9151229858,41.8386459351,21.3284219644
33.2356847127,41.4569549561,19.8308589042
