Timestamp, Memory Usage(%), PCI TX(%), PCI RX(%), Core Util, Mem Util 
20:18:11:454, 0.123258,0.095367,0.214577,0,0 
20:18:11:495, 0.123258,0.905991,12.278557,0,0 
20:18:11:536, 1.417467,0.000000,1.096725,0,0 
20:18:11:597, 1.466770,1.072884,8.773804,5,0 
20:18:11:637, 1.713287,0.715256,6.699562,5,0 
20:18:11:678, 1.836545,0.715256,7.271767,5,0 
20:18:11:719, 1.959802,0.786781,5.936623,5,0 
20:18:11:780, 2.083061,0.190735,0.023842,9,0 
20:18:11:820, 2.206318,0.000000,0.000000,9,0 
20:18:11:889, 2.206318,0.000000,0.476837,9,0 
